127.0.0.1 - - [02/Nov/2020:14:07:44 +0900] "GET / HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:07:47 +0900] "GET /week6/Practice19/Practice19.jsp HTTP/1.1" 200 2136
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:08:17 +0900] "GET /week6/Practice20/login.jsp HTTP/1.1" 200 1625
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:08:17 +0900] "GET /week6/Practice20/image/eclass_title.jpg HTTP/1.1" 200 30916
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:08:17 +0900] "GET /week6/Practice20/image/eclass_logo.png HTTP/1.1" 200 5784
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:16:46 +0900] "GET /week6/Practice20/login.jsp HTTP/1.1" 200 1625
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:16:46 +0900] "GET /week6/Practice20/image/eclass_title.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:16:46 +0900] "GET /week6/Practice20/image/eclass_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:16:48 +0900] "GET /week6/Practice20/request_result.jsp?type=%ED%95%99%EB%B6%80%EC%83%9D&strID=&strPwd= HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:17:55 +0900] "GET /week6/Practice20/request_result.jsp?type=%ED%95%99%EB%B6%80%EC%83%9D&strID=&strPwd= HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:18:03 +0900] "GET /week6/Practice20/login.jsp HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:18:03 +0900] "GET /week6/Practice20/image/eclass_title.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:18:03 +0900] "GET /week6/Practice20/image/eclass_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:18:07 +0900] "GET /week6/Practice20/result.jsp?type=%ED%95%99%EB%B6%80%EC%83%9D&strID=dd&strPwd=dd HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:18:24 +0900] "GET /week6/Practice20/result.jsp?type=%ED%95%99%EB%B6%80%EC%83%9D&strID=dd&strPwd=dd HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:18:34 +0900] "GET /week6/Practice20/login.jsp HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:18:34 +0900] "GET /week6/Practice20/image/eclass_title.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:18:34 +0900] "GET /week6/Practice20/image/eclass_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:18:37 +0900] "GET /week6/Practice20/result.jsp?type=%ED%95%99%EB%B6%80%EC%83%9D&strID=dd&strPwd=dd HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:18:50 +0900] "GET /week6/Practice20/result.jsp?type=%ED%95%99%EB%B6%80%EC%83%9D&strID=dd&strPwd=dd HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:19:12 +0900] "GET /week6/Practice20/result.jsp?type=%ED%95%99%EB%B6%80%EC%83%9D&strID=dd&strPwd=dd HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:22:44 +0900] "GET /week6/Practice20/result.jsp?type=%ED%95%99%EB%B6%80%EC%83%9D&strID=dd&strPwd=dd HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:23:18 +0900] "GET /week6/Practice20/result.jsp?type=%ED%95%99%EB%B6%80%EC%83%9D&strID=dd&strPwd=dd HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:23:37 +0900] "GET /week6/Practice20/result.jsp?type=%ED%95%99%EB%B6%80%EC%83%9D&strID=dd&strPwd=dd HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:23:47 +0900] "GET /week6/Practice20/result.jsp?type=%ED%95%99%EB%B6%80%EC%83%9D&strID=dd&strPwd=dd HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:23:48 +0900] "GET /week6/Practice20/result.jsp?type=%ED%95%99%EB%B6%80%EC%83%9D&strID=dd&strPwd=dd HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:24:43 +0900] "GET /week6/Practice20/result.jsp?type=%ED%95%99%EB%B6%80%EC%83%9D&strID=dd&strPwd=dd HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:24:44 +0900] "GET /week6/Practice20/result.jsp?type=%ED%95%99%EB%B6%80%EC%83%9D&strID=dd&strPwd=dd HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:24:52 +0900] "GET /week6/Practice20/login.jsp HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:24:52 +0900] "GET /week6/Practice20/image/eclass_title.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:24:52 +0900] "GET /week6/Practice20/image/eclass_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:25:06 +0900] "GET /week6/Practice20/result.jsp?type=%ED%95%99%EB%B6%80%EC%83%9D&strID=apple&strPwd=banana HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:28:49 +0900] "GET /week6/Practice20/result.jsp?type=%ED%95%99%EB%B6%80%EC%83%9D&strID=apple&strPwd=banana HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:33:00 +0900] "GET /week6/Practice20/login.jsp HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:33:00 +0900] "GET /week6/Practice20/image/eclass_title.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:33:00 +0900] "GET /week6/Practice20/image/eclass_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:33:12 +0900] "POST /week6/Practice20/result.jsp HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:33:21 +0900] "GET /week6/Practice20/login.jsp HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:33:21 +0900] "GET /week6/Practice20/image/eclass_logo.png HTTP/1.1" 200 5784
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:33:21 +0900] "GET /week6/Practice20/image/eclass_title.jpg HTTP/1.1" 200 30916
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:33:21 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:33:26 +0900] "POST /week6/Practice20/result.jsp HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:34:17 +0900] "GET /week6/Practice20/login.jsp HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:34:17 +0900] "GET /week6/Practice20/image/eclass_title.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:34:17 +0900] "GET /week6/Practice20/image/eclass_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2020:14:34:20 +0900] "POST /week6/Practice20/result.jsp HTTP/1.1" 200 282
